City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Beisfjord,NO,68.3751,17.5988,38.05,72,3,7.29,clear sky
80,Verkhniy Baskunchak,RU,48.2256,46.7217,64.67,63,57,3.11,broken clouds
81,Tasiilaq,GL,65.6145,-37.6368,41.16,84,100,4.72,overcast clouds
82,Avera,US,33.194,-82.5271,65.71,77,100,11.65,overcast clouds
83,Esperance,AU,-33.8667,121.9,61.21,62,48,9.53,scattered clouds
84,Peniche,PT,39.3558,-9.3811,57.29,92,43,13.04,scattered clouds
85,Gravdal,NO,68.1214,13.5031,47.39,65,11,8.79,few clouds
86,Gimbi,ET,9.1667,35.8333,51.82,96,32,1.3,light rain
87,Quatre Cocos,MU,-20.2078,57.7625,69.91,75,1,10.54,clear sky
88,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,17.27,few clouds
89,Japura,ID,-0.3167,102.35,82.9,77,88,1.5,overcast clouds
90,Yantal,RU,56.8471,105.2542,28.8,89,100,7.05,light snow
91,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,79,4.0,broken clouds
92,Saint-Ambroise,CA,48.5501,-71.3324,55.0,58,5,4.61,clear sky
93,Zhangjiakou,CN,40.81,114.8794,69.69,44,100,8.9,overcast clouds
94,Sola,VU,-13.8833,167.55,81.79,65,4,6.85,clear sky
95,Innisfail,AU,-17.5333,146.0333,79.57,55,45,8.46,scattered clouds
96,Novikovo,RU,51.1537,37.8879,57.31,95,98,5.55,overcast clouds
97,Yar-Sale,RU,66.8333,70.8333,30.34,72,99,12.33,overcast clouds
98,Upernavik,GL,72.7868,-56.1549,19.22,84,68,4.27,broken clouds
99,Kaitangata,NZ,-46.2817,169.8464,50.4,53,0,6.2,clear sky
100,Genhe,CN,50.7833,121.5167,45.55,44,20,5.66,few clouds
101,Aklavik,CA,68.2191,-135.0107,32.92,99,100,7.27,overcast clouds
102,Hervey Bay,AU,-25.2986,152.8535,76.01,60,82,8.99,broken clouds
103,Aljezur,PT,37.3191,-8.8033,59.25,62,9,7.76,clear sky
104,Esso,RU,55.9333,158.7,40.21,72,47,4.7,scattered clouds
105,Alta Floresta,BR,-9.8756,-56.0861,85.21,39,99,2.19,overcast clouds
106,Gladstone,AU,-23.85,151.25,75.13,57,40,9.22,scattered clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,75,14.97,broken clouds
108,Teya,RU,60.3778,92.6267,29.95,65,95,2.24,overcast clouds
109,Schmolln,DE,50.9,12.3667,47.44,92,52,6.91,broken clouds
110,Corinto,GR,37.9407,22.9573,72.61,58,23,2.24,few clouds
111,Antofagasta,CL,-23.65,-70.4,56.48,77,45,5.08,scattered clouds
112,Lorengau,PG,-2.0226,147.2712,85.82,61,18,7.4,few clouds
113,Villa Bruzual,VE,9.3328,-69.1208,72.91,96,100,1.23,overcast clouds
114,Mandalgovi,MN,45.7625,106.2708,58.01,35,100,8.57,overcast clouds
115,Ahipara,NZ,-35.1667,173.1667,62.58,96,100,13.22,overcast clouds
116,Constitucion,CL,-35.3333,-72.4167,56.8,81,100,7.61,overcast clouds
117,Baneh,IR,35.9975,45.8853,60.49,20,0,5.46,clear sky
118,Bluff,NZ,-46.6,168.3333,52.81,61,2,8.21,clear sky
119,Mpika,ZM,-11.8343,31.4529,59.85,53,5,6.38,clear sky
120,Linhares,BR,-19.3911,-40.0722,68.79,70,96,7.52,overcast clouds
121,Sao Filipe,CV,14.8961,-24.4956,78.84,87,14,5.93,few clouds
122,Kavieng,PG,-2.5744,150.7967,83.39,70,62,11.81,broken clouds
123,Port Alfred,ZA,-33.5906,26.891,60.19,88,100,5.01,overcast clouds
124,Camana,PE,-16.6228,-72.7111,61.72,76,100,7.45,overcast clouds
125,Takoradi,GH,4.8845,-1.7554,75.0,91,85,11.01,overcast clouds
126,Cockburn Town,TC,21.4612,-71.1419,82.36,74,11,13.33,few clouds
127,Kollam,IN,8.8833,76.6,77.72,83,100,8.77,overcast clouds
128,Akureyri,IS,65.6835,-18.0878,46.33,87,100,13.8,overcast clouds
129,Carnarvon,AU,-24.8667,113.6333,69.85,62,0,17.92,clear sky
130,Shingu,JP,33.7333,135.9833,79.68,52,5,3.53,clear sky
131,Ciudad Bolivar,VE,8.1222,-63.5497,79.18,80,93,5.06,overcast clouds
132,Malvern,US,34.3623,-92.813,68.72,61,0,4.23,clear sky
133,Longyearbyen,SJ,78.2186,15.6401,35.44,100,100,5.75,fog
134,Araria,IN,26.15,87.5167,83.16,71,8,2.53,clear sky
135,Half Moon Bay,US,37.4636,-122.4286,83.03,74,100,21.85,mist
136,Puerto Escondido,MX,15.85,-97.0667,78.87,86,82,3.0,broken clouds
137,Calituban,PH,10.24,124.2919,78.89,73,84,5.93,broken clouds
138,Bridgetown,BB,13.1,-59.6167,82.89,83,20,17.27,few clouds
139,Katsuura,JP,35.1333,140.3,77.41,60,0,16.73,clear sky
140,Kahului,US,20.8947,-156.47,87.82,57,20,27.63,few clouds
141,Zhanaozen,KZ,43.3,52.8,60.53,25,5,9.69,clear sky
142,Murgab,TM,37.4966,61.9714,61.95,26,0,7.18,clear sky
143,Ostrovnoy,RU,68.0531,39.5131,38.34,93,100,8.03,overcast clouds
144,Delta Del Tigre,UY,-34.7633,-56.3853,58.89,75,58,7.67,broken clouds
145,Sur,OM,22.5667,59.5289,79.47,75,3,6.2,clear sky
146,Barao De Melgaco,BR,-16.1944,-55.9675,74.37,74,1,5.32,clear sky
147,Spring Valley,US,36.108,-115.245,92.59,16,20,12.66,few clouds
148,Nemuro,JP,43.3236,145.575,68.38,82,95,22.24,overcast clouds
149,Marathon,US,44.9,-89.7668,54.93,77,0,0.0,clear sky
150,Gat,IL,31.61,34.7642,74.08,83,0,3.09,clear sky
151,Sitka,US,57.0531,-135.33,58.89,88,100,18.41,heavy intensity rain
152,Chuy,UY,-33.6971,-53.4616,53.83,97,100,4.12,light rain
