City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Shenkursk,RU,46.17,overcast clouds,62.1091,42.896,"""Vaga"" hotel"
476,Ustka,PL,44.65,scattered clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
508,Langres,FR,47.19,overcast clouds,47.8333,5.3333,Le Belvédère des Remparts
509,Tromso,NO,35.38,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
510,Masty,BY,48.15,overcast clouds,53.4122,24.5387,Gostinitsa Masty
512,Nizhneangarsk,RU,35.82,light rain,55.7833,109.55,Хостел
515,Chumikan,RU,44.51,clear sky,54.7183,135.315,Fortuna
517,Bakchar,RU,25.9,broken clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
523,Calvinia,ZA,48.9,overcast clouds,-31.4707,19.776,Die Lemoenhuis
527,Hudson Bay,CA,47.75,overcast clouds,52.85,-102.3842,Norwood Motel LTD
534,Khani,GE,47.77,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
535,Havre-Saint-Pierre,CA,48.56,few clouds,50.2334,-63.5986,Auberge Niapiskau 2
553,Kirishi,RU,44.56,overcast clouds,59.4471,32.0205,Sputnik
559,Valday,RU,40.39,broken clouds,57.9747,33.2525,Amaks Valdayskiye Zori
576,Hofn,IS,46.65,overcast clouds,64.2539,-15.2082,Hótel Höfn
585,Marienburg,PL,47.88,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
590,Tazovskiy,RU,31.84,overcast clouds,67.4667,78.7,TazHostel
591,Ushtobe,KZ,28.83,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
607,Arkhangelsk,RU,44.71,moderate rain,64.5401,40.5433,DVINA HOTEL
610,Nyurba,RU,30.2,broken clouds,63.2842,118.3319,"Гостиница ""Comfort"""
612,Voznesenye,RU,45.36,overcast clouds,61.0106,35.4781,Gostinitsa
615,Mezen,RU,38.5,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
618,Arys,KZ,49.69,clear sky,42.4252,68.795,Gostinitsa
620,Eyrarbakki,IS,48.25,overcast clouds,63.863,-21.1481,Guesthouse 77
621,Kharp,RU,22.44,scattered clouds,66.8014,65.8081,"Hotel ""Sob"""
623,Ust-Tsilma,RU,35.56,light rain,65.441,52.1498,U Praskov'i
626,Bolotnoye,RU,31.53,overcast clouds,55.6717,84.3981,"Gostinichnyy Dom ""Otdykh"""
635,Huancavelica,PE,36.05,overcast clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
639,Saint-Augustin,CA,49.84,overcast clouds,51.226,-58.6502,Riverview Inn
641,Skjervoy,NO,35.6,clear sky,70.0311,20.9714,Skjervøy fiskecamp AS
645,Suntar,RU,31.37,broken clouds,62.1444,117.6319,Гостевая квартира
650,Coihaique,CL,46.35,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
651,Troitsko-Pechorsk,RU,33.85,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
